project_code,project_name,category,batch_no,publish_year,entry_type,region_raw,province,protection_unit_normalized,source_url,collected_at
I-13,宝卷(岷县宝卷),民间文学,5,2021,extension,甘肃省定西市岷县,甘肃省,岷县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-130,孔雀东南飞传说,民间文学,4,2014,new,安徽省怀宁县,安徽省,怀宁县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-130,孔雀东南飞传说,民间文学,4,2014,new,安徽省潜山县,安徽省,潜山市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-131,老子传说,民间文学,4,2014,new,安徽省涡阳县,安徽省,涡阳县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-131,老子传说,民间文学,4,2014,new,河南省灵宝市,河南省,灵宝市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-132,陈三五娘传说,民间文学,4,2014,new,福建省泉州市洛江区,福建省,泉州市洛江区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-133,胡峄阳传说,民间文学,4,2014,new,山东省青岛市城阳区,山东省,青岛城阳流亭峄阳文化园,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-134,孟母教子传说,民间文学,4,2014,new,山东省邹城市,山东省,邹城市文化旅游公共服务中心(邹城市图书馆、邹城市文化馆),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-135,河图洛书传说,民间文学,4,2014,new,河南省洛阳市,河南省,洛阳市文化馆(洛阳市非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-136,杞人忧天传说,民间文学,4,2014,new,河南省杞县,河南省,杞县人民文化馆(杞县送戏下乡艺术团),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-137,三国传说,民间文学,4,2014,new,湖北省,湖北省,湖北省群众艺术馆(湖北省非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-138,伯牙子期传说,民间文学,4,2014,new,湖北省武汉市,湖北省,武汉市群众艺术馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-139,尹吉甫传说,民间文学,4,2014,new,湖北省房县,湖北省,房县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-14,耿村民间故事,民间文学,1,2006,new,河北省藁城市,河北省,石家庄市藁城区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-140,苏仙传说,民间文学,4,2014,new,湖南省郴州市苏仙区,湖南省,郴州市苏仙区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-141,毕阿史拉则传说,民间文学,4,2014,new,四川省金阳县,四川省,金阳县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-142,仓颉传说,民间文学,4,2014,new,陕西省白水县,陕西省,白水县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-142,仓颉传说,民间文学,4,2014,new,陕西省洛南县,陕西省,洛南县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-143,骆驼泉传说,民间文学,4,2014,new,青海省循化撒拉族自治县,青海省,循化撒拉族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-144,回族民间故事,民间文学,4,2014,new,宁夏回族自治区泾源县,宁夏回族自治区,泾源县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-145,广禅侯故事,民间文学,4,2014,new,山西省阳城县,山西省,阳城县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-146,解缙故事,民间文学,4,2014,new,江西省吉水县,江西省,吉水县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-147,壮族百鸟衣故事,民间文学,4,2014,new,广西壮族自治区横县,广西壮族自治区,横县文化馆(横县非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-148,阿凡提故事,民间文学,4,2014,new,新疆维吾尔自治区喀什地区,新疆维吾尔自治区,喀什地区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-149,广阳镇民间故事,民间文学,4,2014,new,重庆市南岸区,重庆市,重庆市南岸区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
I-15,伍家沟民间故事,民间文学,1,2006,new,湖北省丹江口市,湖北省,丹江口市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00
I-150,西王母神话,民间文学,4,2014,new,新疆维吾尔自治区阜康市,新疆维吾尔自治区,新疆天池管理委员会(新疆天山天池风景名胜区管理委员会、新疆天池博格达峰自然保护区管理局),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00
