project_code,project_name,category,min_batch,max_batch,first_publish_year,province_list,protection_units,subitem_count
II-109,苗族民歌(湘西苗族民歌),传统音乐,2,4,2008,海南省、湖南省、贵州省、重庆市,5,5
II-11,梅州客家山歌,传统音乐,1,1,2006,广东省,1,1
II-110,瑶族民歌(花瑶呜哇山歌),传统音乐,2,4,2008,广东省、湖南省,2,2
II-111,黎族民歌(琼中黎族民歌),传统音乐,2,2,2008,海南省,1,1
II-112,布依族民歌(好花红调),传统音乐,2,2,2008,贵州省,1,1
II-113,彝族民歌(彝族酒歌),传统音乐,2,3,2008,云南省、贵州省,2,2
II-114,布朗族民歌(布朗族弹唱),传统音乐,2,2,2008,云南省,1,1
II-115,藏族民歌(川西藏族山歌),传统音乐,2,4,2008,四川省、甘肃省、西藏自治区、青海省,10,10
II-116,维吾尔族民歌(罗布淖尔维吾尔族民歌),传统音乐,2,4,2008,新疆维吾尔自治区,3,3
II-117,乌孜别克族埃希来、叶来,传统音乐,2,2,2008,新疆维吾尔自治区,3,3
II-118,回族宴席曲,传统音乐,2,2,2008,青海省,1,1
II-119,琵琶艺术(瀛洲古调派),传统音乐,2,2,2008,上海市、浙江省,3,3
II-12,中山咸水歌,传统音乐,1,1,2006,广东省,1,1
II-120,古筝艺术(山东古筝乐),传统音乐,2,4,2008,山东省、河南省,2,2
II-121,笙管乐(复州双管乐),传统音乐,2,2,2008,河南省、辽宁省,3,3
II-122,津门法鼓(挂甲寺庆音法鼓),传统音乐,2,4,2008,天津市,3,4
II-123,锣鼓艺术(汉沽飞镲),传统音乐,2,5,2008,上海市、天津市、山东省、山西省、广东省、江西省、河北省、河南省、湖北省、重庆市、陕西省,19,19
II-124,朝鲜族洞箫音乐,传统音乐,2,3,2008,吉林省、陕西省,3,3
II-125,土家族咚咚喹,传统音乐,2,2,2008,湖南省,1,1
II-126,哈萨克六十二阔恩尔,传统音乐,2,2,2008,新疆维吾尔自治区,1,1
II-127,维吾尔族鼓吹乐,传统音乐,2,2,2008,新疆维吾尔自治区,1,1
II-128,洞经音乐(文昌洞经古乐),传统音乐,2,4,2008,云南省、四川省,3,3
II-129,芦笙音乐(侗族芦笙),传统音乐,2,2,2008,湖南省、贵州省,2,2
II-13,崖州民歌,传统音乐,1,2,2006,海南省,2,2
II-130,布依族勒尤,传统音乐,2,2,2008,贵州省,3,3
II-131,藏族扎木聂弹唱,传统音乐,2,5,2008,西藏自治区、青海省,2,2
II-132,哈萨克族冬布拉艺术,传统音乐,2,2,2008,新疆维吾尔自治区,1,1
II-133,柯尔克孜族库姆孜艺术,传统音乐,2,2,2008,新疆维吾尔自治区,2,2
II-134,蒙古族绰尔,传统音乐,2,2,2008,新疆维吾尔自治区,1,1
II-135,黎族竹木器乐,传统音乐,2,2,2008,海南省,2,2
II-136,口弦音乐,传统音乐,2,3,2008,四川省,2,2
II-137,吟诵调(常州吟诵),传统音乐,2,2,2008,江苏省,1,1
II-138,佛教音乐(天宁寺梵呗唱诵),传统音乐,2,4,2008,四川省、宁夏回族自治区、山东省、山西省、江苏省、河南省、甘肃省、西藏自治区、陕西省、青海省,13,13
II-139,道教音乐(广宗太平道乐),传统音乐,2,4,2008,上海市、四川省、安徽省、山东省、山西省、江苏省、江西省、河北省、浙江省、海南省、澳门特别行政区、甘肃省、陕西省、香港特别行政区,20,20
II-14,儋州调声,传统音乐,1,1,2006,海南省,1,1
II-140,凤阳民歌,传统音乐,3,3,2011,安徽省,1,1
II-141,九江山歌,传统音乐,3,3,2011,江西省,1,1
II-142,利川灯歌,传统音乐,3,3,2011,湖北省,1,1
II-143,天门民歌,传统音乐,3,3,2011,湖北省,1,1
II-144,临高渔歌,传统音乐,3,3,2011,海南省,1,1
II-145,弥渡民歌,传统音乐,3,3,2011,云南省,1,1
II-146,青海汉族民间小调,传统音乐,3,3,2011,青海省,1,1
II-147,阿里郎,传统音乐,3,3,2011,吉林省,1,1
II-148,哈萨克族民歌,传统音乐,3,3,2011,新疆维吾尔自治区,1,1
II-149,塔吉克族民歌,传统音乐,3,3,2011,新疆维吾尔自治区,1,1
II-15,石柱土家啰儿调,传统音乐,1,1,2006,重庆市,1,1
II-150,茅山号子,传统音乐,3,3,2011,江苏省,1,1
II-151,弦索乐(菏泽弦索乐),传统音乐,3,3,2011,山东省,1,1
II-152,纳西族白沙细乐,传统音乐,3,3,2011,云南省,1,1
II-153,伽倻琴艺术,传统音乐,3,3,2011,吉林省,1,1
II-154,京族独弦琴艺术,传统音乐,3,3,2011,广西壮族自治区,1,1
II-155,哈萨克族库布孜,传统音乐,3,3,2011,新疆维吾尔自治区,1,1
II-156,土家族民歌,传统音乐,4,4,2014,湖南省、贵州省,2,2
II-157,渔歌(洞庭渔歌),传统音乐,4,5,2014,广东省、浙江省、湖南省,3,3
II-158,西岭山歌,传统音乐,4,4,2014,四川省,1,1
II-159,旬阳民歌,传统音乐,4,4,2014,陕西省,1,1
II-16,巴山背二歌,传统音乐,1,1,2006,四川省,1,1
II-160,撒拉族民歌,传统音乐,4,4,2014,青海省,1,1
II-161,锡伯族民歌,传统音乐,4,4,2014,新疆维吾尔自治区,1,1
II-162,凌云壮族七十二巫调音乐,传统音乐,4,4,2014,广西壮族自治区,1,1
II-163,毕摩音乐,传统音乐,4,4,2014,四川省,1,1
II-164,剑川白曲,传统音乐,4,4,2014,云南省,1,1
II-165,阿斯尔,传统音乐,4,4,2014,内蒙古自治区,1,1
II-166,莆仙十音八乐,传统音乐,4,4,2014,福建省,1,1
II-167,蒙古族汗廷音乐,传统音乐,4,4,2014,内蒙古自治区,1,1
II-168,浏阳文庙祭孔音乐,传统音乐,4,4,2014,湖南省,1,1
II-169,潮尔(蒙古族弓弦乐),传统音乐,4,4,2014,内蒙古自治区,1,1
II-17,傈僳族民歌,传统音乐,1,1,2006,云南省,2,2
II-170,蒙古族托布秀尔音乐,传统音乐,4,4,2014,新疆维吾尔自治区,1,1
II-171,赫哲族嫁令阔,传统音乐,5,5,2021,黑龙江省,1,1
II-172,崇明山歌,传统音乐,5,5,2021,上海市,1,1
II-173,南闸民歌,传统音乐,5,5,2021,江苏省,1,1
II-174,嘉禾伴嫁歌,传统音乐,5,5,2021,湖南省,1,1
II-175,疍歌,传统音乐,5,5,2021,海南省,1,1
II-176,仡佬族民歌,传统音乐,5,5,2021,贵州省,1,1
II-177,独龙族民歌,传统音乐,5,5,2021,云南省,1,1
II-178,门巴族萨玛民歌,传统音乐,5,5,2021,西藏自治区,1,1
II-179,甘州小调,传统音乐,5,5,2021,甘肃省,1,1
II-18,紫阳民歌,传统音乐,1,1,2006,陕西省,1,1
II-180,阿柔逗曲,传统音乐,5,5,2021,青海省,1,1
II-181,两当号子,传统音乐,5,5,2021,甘肃省,1,1
II-182,鼓吹乐(海龙鼓吹乐),传统音乐,5,5,2021,吉林省、黑龙江省,2,2
II-183,朝鲜族奚琴艺术,传统音乐,5,5,2021,吉林省,1,1
II-184,二胡艺术(江南孙氏二胡艺术),传统音乐,5,5,2021,上海市,1,1
II-185,俄罗斯族巴扬艺术,传统音乐,5,5,2021,新疆维吾尔自治区,1,1
II-186,壮族天琴艺术,传统音乐,5,5,2021,广西壮族自治区,1,1
II-187,阿数瑟,传统音乐,5,5,2021,云南省,1,1
II-188,天坛神乐署中和韶乐,传统音乐,5,5,2021,北京市,1,1
II-189,宣抚司礼仪乐舞,传统音乐,5,5,2021,云南省,1,1
II-19,裕固族民歌,传统音乐,1,1,2006,甘肃省,1,1
II-2,河曲民歌,传统音乐,1,1,2006,山西省,1,1
II-20,花儿(莲花山花儿会),传统音乐,1,4,2006,宁夏回族自治区、新疆维吾尔自治区、甘肃省、青海省,11,11
II-21,藏族拉伊,传统音乐,1,4,2006,西藏自治区、青海省,2,2
II-22,聊斋俚曲,传统音乐,1,1,2006,山东省,1,1
II-23,靖州苗族歌鼟,传统音乐,1,1,2006,湖南省,1,1
II-24,川江号子,传统音乐,1,1,2006,四川省、重庆市,2,2
II-25,南溪号子,传统音乐,1,1,2006,重庆市,1,1
II-26,木洞山歌,传统音乐,1,1,2006,重庆市,1,1
II-27,川北薅草锣鼓,传统音乐,1,4,2006,四川省、江苏省、江西省、湖北省,9,9
II-28,侗族大歌,传统音乐,1,2,2006,广西壮族自治区、贵州省,5,5
II-29,侗族琵琶歌,传统音乐,1,3,2006,贵州省,3,3
II-3,蒙古族长调民歌,传统音乐,1,5,2006,内蒙古自治区、新疆维吾尔自治区,5,5
II-30,哈尼族多声部民歌,传统音乐,1,4,2006,云南省、内蒙古自治区、四川省、广西壮族自治区、贵州省,10,10
II-31,彝族海菜腔,传统音乐,1,1,2006,云南省,1,1
II-32,那坡壮族民歌,传统音乐,1,1,2006,广西壮族自治区,1,1
II-33,澧水船工号子,传统音乐,1,1,2006,湖南省,1,1
II-34,古琴艺术,传统音乐,1,5,2006,中直单位、北京市、山东省、广东省、江苏省、浙江省、陕西省、香港特别行政区,12,12
II-35,蒙古族马头琴音乐,传统音乐,1,5,2006,内蒙古自治区、吉林省、辽宁省,3,3
II-36,蒙古族四胡音乐,传统音乐,1,4,2006,内蒙古自治区、吉林省、黑龙江省,4,4
II-37,唢呐艺术,传统音乐,1,5,2006,安徽省、山东省、山西省、江苏省、江西省、河北省、河南省、湖北省、湖南省、甘肃省、福建省、辽宁省、重庆市、陕西省、黑龙江省,27,27
II-38,羌笛演奏及制作技艺,传统音乐,1,1,2006,四川省,1,1
II-39,辽宁鼓乐,传统音乐,1,1,2006,辽宁省,2,2
II-4,蒙古族呼麦,传统音乐,1,2,2006,内蒙古自治区、新疆维吾尔自治区,2,2
II-40,江南丝竹,传统音乐,1,2,2006,上海市、江苏省、浙江省,3,3
II-41,海州五大宫调,传统音乐,1,1,2006,江苏省,1,1
II-42,嵊州吹打,传统音乐,1,1,2006,浙江省,1,1
II-43,舟山锣鼓,传统音乐,1,1,2006,浙江省,1,1
II-44,十番音乐(闽西客家十番音乐),传统音乐,1,2,2006,广东省、江苏省、浙江省、海南省、福建省,9,9
II-45,鲁西南鼓吹乐,传统音乐,1,3,2006,山东省,4,4
II-46,板头曲,传统音乐,1,1,2006,河南省,1,1
II-47,宜昌丝竹,传统音乐,1,1,2006,湖北省,1,1
II-48,枝江民间吹打乐,传统音乐,1,1,2006,湖北省,1,1
II-49,广东音乐,传统音乐,1,1,2006,广东省,2,2
II-5,当涂民歌,传统音乐,1,1,2006,安徽省,1,1
II-50,潮州音乐,传统音乐,1,1,2006,广东省,2,2
II-51,广东汉乐,传统音乐,1,1,2006,广东省,1,1
II-52,吹打(接龙吹打),传统音乐,1,3,2006,广西壮族自治区、重庆市,3,3
II-53,梁平癞子锣鼓,传统音乐,1,1,2006,重庆市,1,1
II-54,土家族打溜子,传统音乐,1,2,2006,湖北省、湖南省,3,3
II-55,河北鼓吹乐,传统音乐,1,1,2006,河北省,2,2
II-56,晋南威风锣鼓,传统音乐,1,1,2006,山西省,1,1
II-57,绛州鼓乐,传统音乐,1,1,2006,山西省,1,1
II-58,上党八音会,传统音乐,1,1,2006,山西省,1,1
II-59,冀中笙管乐(屈家营音乐会),传统音乐,1,2,2006,北京市、河北省,11,16
II-6,巢湖民歌,传统音乐,1,1,2006,安徽省,1,1
II-60,铜鼓十二调,传统音乐,1,1,2006,贵州省,2,2
II-61,西安鼓乐,传统音乐,1,1,2006,陕西省,1,1
II-62,蓝田普化水会音乐,传统音乐,1,1,2006,陕西省,1,1
II-63,回族民间器乐,传统音乐,1,1,2006,宁夏回族自治区,1,1
II-64,文水鈲子,传统音乐,1,1,2006,山西省,1,1
II-65,智化寺京音乐,传统音乐,1,1,2006,北京市,1,1
II-66,五台山佛乐,传统音乐,1,1,2006,山西省,1,1
II-67,千山寺庙音乐,传统音乐,1,1,2006,辽宁省,1,1
II-68,苏州玄妙观道教音乐,传统音乐,1,1,2006,江苏省,1,1
II-69,武当山宫观道乐,传统音乐,1,1,2006,湖北省,1,1
II-7,畲族民歌,传统音乐,1,3,2006,浙江省、福建省,3,3
II-70,新疆维吾尔木卡姆艺术(十二木卡姆),传统音乐,1,1,2006,新疆维吾尔自治区,4,4
II-71,南音,传统音乐,1,1,2006,福建省,2,2
II-72,泉州北管,传统音乐,1,1,2006,福建省,1,1
II-73,陕北民歌,传统音乐,2,2,2008,陕西省,2,2
II-74,昌黎民歌,传统音乐,2,2,2008,河北省,1,1
II-75,高邮民歌,传统音乐,2,2,2008,江苏省,1,1
II-76,五河民歌,传统音乐,2,2,2008,安徽省,1,1
II-77,大别山民歌,传统音乐,2,2,2008,安徽省,1,1
II-78,徽州民歌,传统音乐,2,2,2008,安徽省,1,1
II-79,信阳民歌,传统音乐,2,2,2008,河南省,1,1
II-8,兴国山歌,传统音乐,1,1,2006,江西省,1,1
II-80,西坪民歌,传统音乐,2,2,2008,河南省,1,1
II-81,马山民歌,传统音乐,2,2,2008,湖北省,1,1
II-82,潜江民歌,传统音乐,2,2,2008,湖北省,1,1
II-83,吕家河民歌,传统音乐,2,2,2008,湖北省,1,1
II-84,秀山民歌,传统音乐,2,2,2008,重庆市,1,1
II-85,酉阳民歌,传统音乐,2,2,2008,重庆市,1,1
II-86,镇巴民歌,传统音乐,2,2,2008,陕西省,1,1
II-87,嘉善田歌,传统音乐,2,2,2008,浙江省,1,1
II-88,南坪曲子,传统音乐,2,2,2008,四川省,1,1
II-89,茶山号子,传统音乐,2,2,2008,湖南省,1,1
II-9,兴山民歌,传统音乐,1,1,2006,湖北省,1,1
II-90,啰啰咚,传统音乐,2,2,2008,湖北省,1,1
II-91,爬山调,传统音乐,2,2,2008,内蒙古自治区,2,2
II-92,漫瀚调,传统音乐,2,2,2008,内蒙古自治区,1,1
II-93,惠东渔歌,传统音乐,2,2,2008,广东省,1,1
II-94,海门山歌,传统音乐,2,2,2008,江苏省,1,1
II-95,新化山歌,传统音乐,2,2,2008,湖南省,1,1
II-96,姚安坝子腔,传统音乐,2,2,2008,云南省,1,1
II-97,海洋号子(舟山渔民号子),传统音乐,2,3,2008,山东省、浙江省、辽宁省,4,4
II-98,江河号子(黄河号子),传统音乐,2,2,2008,河南省、湖北省、湖南省,6,6
II-99,码头号子(上海港码头号子),传统音乐,2,2,2008,上海市,2,2
III-1,京西太平鼓,传统舞蹈,1,2,2006,北京市,3,3
III-10,永新盾牌舞,传统舞蹈,1,3,2006,江西省、浙江省,2,2
III-100,跳花棚,传统舞蹈,3,3,2011,广东省,1,1
III-101,老古舞,传统舞蹈,3,3,2011,海南省,1,1
III-102,跳曹盖,传统舞蹈,3,3,2011,四川省,1,1
III-103,棕扇舞,传统舞蹈,3,3,2011,云南省,1,1
III-104,鄂温克族萨满舞,传统舞蹈,3,3,2011,内蒙古自治区,1,1
III-105,协荣仲孜,传统舞蹈,3,3,2011,西藏自治区,1,1
III-106,普兰果尔孜,传统舞蹈,3,3,2011,西藏自治区,1,1
III-107,陈塘夏尔巴歌舞,传统舞蹈,3,3,2011,西藏自治区,1,1
