inheritor_id,name,project_code,child_num,province,match_status,matched_subitem_id,reason
inheritor_844,宝音德力格尔,II-3,II-003_01_150000,内蒙古自治区,matched,subitem_12410,child_num 精确匹配
inheritor_845,徐盛久,II-8,II-008_01_360732,江西省,matched,subitem_12421,child_num 精确匹配
inheritor_846,陈家珍,II-9,II-009_01_420526,湖北省,matched,subitem_12422,child_num 精确匹配
inheritor_847,余耀南,II-11,II-011_01_441400,广东省,matched,subitem_12424,child_num 精确匹配
inheritor_848,吴志辉,II-12,II-012_01_442000,广东省,matched,subitem_12425,child_num 精确匹配
inheritor_849,唐宝山,II-14,II-014_01_469003,海南省,matched,subitem_12428,child_num 精确匹配
inheritor_850,刘永斌,II-15,II-015_01_500240,重庆市,matched,subitem_12429,child_num 精确匹配
inheritor_851,陈治华,II-16,II-016_01_511900,四川省,matched,subitem_12430,child_num 精确匹配
inheritor_852,王利,II-17,II-017_01_533321,云南省,matched,subitem_12432,child_num 精确匹配
inheritor_853,马金山,II-20,II-020_01_622925,甘肃省,matched,subitem_12437,child_num 精确匹配
inheritor_854,马得林,II-20,II-020_01_630121,青海省,matched,subitem_12438,child_num 精确匹配
inheritor_855,马明山,II-20,II-020_01_630223,青海省,matched,subitem_12441,child_num 精确匹配
inheritor_856,赵存禄,II-20,II-020_01_630222,青海省,matched,subitem_12440,child_num 精确匹配
inheritor_857,张英芝,II-20,II-020_01_630222,青海省,matched,subitem_12440,child_num 精确匹配
inheritor_858,王存福,II-20,II-020_01_630202,青海省,matched,subitem_12439,child_num 精确匹配
inheritor_859,马生林,II-20,II-020_01_640000,宁夏回族自治区,matched,subitem_12442,child_num 精确匹配
inheritor_860,切吉卓玛,II-21,II-021_01_632500,海南省,matched,subitem_12446,child_num 精确匹配
inheritor_861,蒲章俊,II-22,II-022_01_370300,山东省,matched,subitem_12448,child_num 精确匹配
inheritor_862,杨正泽,II-25,II-025_01_500114,重庆市,matched,subitem_12452,child_num 精确匹配
inheritor_863,潘中民,II-26,II-026_01_500113,重庆市,matched,subitem_12453,child_num 精确匹配
inheritor_864,王绍兴,II-27,II-027_01_510822,四川省,matched,subitem_12454,child_num 精确匹配
inheritor_865,吴品仙,II-28,II-028_01_522631,贵州省,matched,subitem_12465,child_num 精确匹配
inheritor_866,吴光祖,II-28,II-028_01_450226,广西壮族自治区,matched,subitem_12464,child_num 精确匹配
inheritor_867,覃奶号,II-28,II-028_01_450226,广西壮族自治区,matched,subitem_12464,child_num 精确匹配
inheritor_868,吴家兴,II-29,II-029_01_522632,贵州省,matched,subitem_12469,child_num 精确匹配
inheritor_869,吴玉竹,II-29,II-029_01_522631,贵州省,matched,subitem_12468,child_num 精确匹配
inheritor_870,车格,II-30,II-030_01_532529,云南省,matched,subitem_12471,child_num 精确匹配
